"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3951177";"";"0";"439.60";"0";"3.96";"BDBM4249";"COc1ccc2c3c1O[C@@H]1[C@]34CCN(C)[C@H](C2)[C@]42CC[C@@]1(OC)[C@@H](COCC1CCC1)C2";"Ki";"'='";"29.57";"nM";"7.53";"";"218836";"UO_0000065";"17.13";"0.32";"3.57";"18.75";"False";"CHEMBL3707592";"Binding Assay: Binding assay of certain compounds of this invention to the opioid receptor was determine using radioligand binding assay (screening and dose-displacement).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638745";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3664540";"";"0";"409.53";"0";"2.79";"BDBM4782";"C#CCOCC1CC23CCC1(OC)C1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5";"Ki";"'='";"5.9";"nM";"8.23";"";"218842";"UO_0000065";"20.09";"0.37";"5.44";"20.49";"False";"CHEMBL3707592";"Binding Assay: Binding assay of certain compounds of this invention to the opioid receptor was determine using radioligand binding assay (screening and dose-displacement).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638745";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL4513786";"";"0";"532.72";"2";"5.54";"None";"CCCCN(CCCC)C(=O)CN1C[C@@H](c2cc(OC)c3c(c2)OCO3)[C@H](C(=O)O)[C@H]1CC(C)(C)CCC";"Ki";"'='";"2754.23";"nM";"5.56";"";"";"UO_0000065";"10.44";"0.20";"0.02";"6.28";"False";"CHEMBL4507820";"GPCRScan assay: inhibition of MOR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"Parental cells: stable HEK | PMID: 10672467/8114680 | Protein length: full-length | Radioligand conc. used [nM]: 1.0 â 2.0 | Radioligand Kd None 1.2 nM | Radioligand name: [3H]-DAMGO | Radioligand pKd None 8.92 None | Radioligand pKd Â± SEM None 0.05 None | Reference ligand: DAMGO | Reference ligand Ki None 1.76 nM | Reference ligand pKi None 8.75 None | Reference ligand pKi  Â± SEM None 0.02 None";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4507258";"54";"Donated Chemical Probes - SGC Frankfurt";"";"";"None";""
"CHEMBL589260";"";"0";"273.38";"0";"2.92";"(+/-)-1d";"CC[C@@]12CCN(CC3CC3)C[C@@H]1Oc1c(O)cccc12";"Ki";"'='";"4670.0";"nM";"5.33";"";"";"UO_0000065";"19.50";"0.36";"2.41";"16.30";"False";"CHEMBL1074338";"Displacement of [3H]DAMGO from mu opioid receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157715";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"CHEMBL3308072";""
"CHEMBL4106985";"";"0";"587.78";"2";"5.71";"BDBM199360";"CO[C@]12CC[C@@]3(C[C@@H]1COCc1cc4ccccc4s1)[C@H]1Cc4ccc(OCCO)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5";"EC50";"'='";"3230.49";"nM";"5.49";"";"354847";"UO_0000065";"9.34";"0.18";"-0.22";"9.09";"False";"CHEMBL3887793";"Functional Assay: [35S]GTPgammaS functional assays were conducted using freshly thawed u-receptor membranes (Perkin Elmer, Shelton, Conn.). Assay reactions were prepared by sequentially adding the following reagents to binding buffer (100 mM NaCl, 10 mM MgCl2, 20 mM HEPES, pH 7.4) on ice (final concentrations indicated): membrane protein (0.026 mg/mL), saponin (10 mg/mL), GDP (3 mM) and [35S]GTPgammaS (0.20 nM; Perkin Elmer, Shelton, Conn.). The prepared membrane solution (190 ul/well) was transferred to 96-shallow well polypropylene plates containing 10 ul of 20x concentrated stock solutions of the agonist [D-Ala2, N-methyl-Phe4 Gly-ol5]-enkephalin (DAMGO) prepared in dimethyl sulfoxide (DMSO). Plates were incubated for 30 min at about 25° C. with shaking. Reactions were terminated by rapid filtration onto 96-well Unifilter GF/B filter plates (Perkin Elmer, Shelton, Conn.) using a 96-well tissue harvester (Perkin Elmer, Shelton, Conn.) followed by three filtration washes with 2001 of ice-cold binding buffer.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886452";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL437983";"";"0";"481.64";"0";"3.16";"26";"C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)N[C@@H](CCCN)C(=O)O)CC[C@@]1(C)c1cccc(O)c1";"Ki";"'='";"0.41";"nM";"9.39";"";"";"UO_0000065";"19.49";"0.37";"6.23";"8.10";"False";"CHEMBL933964";"Displacement of [3H]diprenorphine from human cloned mu opioid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144033";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL430397";"";"0";"466.67";"1";"6.14";"16";"C[C@H]1C2Cc3ccc(C(=O)NCCCc4ccc5ccccc5c4)cc3[C@@]1(C)CCN2CC1CC1";"Ki";"'='";"1.9";"nM";"8.72";"";"";"UO_0000065";"18.69";"0.34";"2.58";"26.97";"False";"CHEMBL941712";"Displacement of [3H]DAMGO from mu opioid receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140563";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL4110373";"";"0";"361.44";"0";"1.21";"BDBM208982";"COCCO[C@H]1CC[C@@]2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5";"EC50";"'='";"85.0";"nM";"7.07";"";"369597";"UO_0000065";"19.56";"0.37";"5.86";"9.90";"False";"CHEMBL3888047";"HiRange Homogenous Time-Resolved Fluorescence (HTRF) Assay: Briefly, suspensions of cells expressing either the mu, kappa or delta opioid receptors were prepared in buffer containing 0.5 mM isobutyl-methyl xanthine (IBMX). Cells were incubated with varying concentrations of PEG-opioid conjugates and 3 uM forskolin for 30 minutes at room temperature. cAMP was detected following a two-step assay protocol per the manufacturer's instructions and time resolved fluorescence was measured with the following settings: 330 nm excitation; 620 nm and 665 nm emission; 380 nm dichroic mirror. The 665 nm/620 nm ratio is expressed as Delta F % and test compound-related data is expressed as a percentage of average maximum response in wells without forskolin. EC50 values were calculated for each compound from a sigmoidal dose-response plot of concentrations versus maximum response.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886551";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL246479";"";"0";"742.86";"3";"-1.45";"35";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1ccc2nc(N)sc2c1)C(=O)N[C@H](C(=O)O)[C@@H](C)O";"Ki";"'='";"640.0";"nM";"6.19";"";"";"UO_0000065";"8.34";"0.16";"7.64";"2.15";"False";"CHEMBL887068";"Displacement of [3H]diprenorphine from human cloned mu opioid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139195";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL3985824";"";"0";"302.51";"0";"4.51";"BDBM239895";"CCCCC1(N(C)C)CCC(c2ccccc2)(N(C)C)CC1";"Ki";"'='";"115.0";"nM";"6.94";"";"418467";"UO_0000065";"22.94";"0.43";"2.43";"107.09";"False";"CHEMBL3888831";"Binding Assay: The affinity to the human μ-opiate receptor was determined in a homogeneous preparation in microtiter plates. For this, dilution series of the respective compound to be tested were incubated for 90 minutes at room temperature with a receptor membrane preparation (15-40 mg of protein per 250 μl of incubation batch) of CHO-K 1 cells, which express the human μ-opiate receptor (RB-HOM receptor membrane preparation of NEN, Zaventem, Belgium), in the presence of 1 nmol/l of the radioactive ligand [3H'-naloxone (NET719, NEN, Zaventem, Belgium) and of 1 mg WGA-SPA beads (wheat germ agglutinin SPA beads from Amersham/Pharmacia, Freiburg, Germany) in a total volume of 250 μl. 50 mmol/l of tris-HCl supplemented by 0.05% by wt. of sodium azide and 0.06% by wt. of bovine serum albumin was used as incubation buffer. 25 μmol/l of naloxone were additionally added to determine the non-specific bond. After the ninety-minute incubation time had ended, the microtiter plates were centrifuged for 20 minutes at 1000 g and the radioactivity measured in a β-counter (Microbeta-Trilux, PerkinElmer Wallac, Freiburg, Germany).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886853";"37";"BindingDB Database";"";"2016";"None";""
